school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,latitude_longitude,lat,lon
ADMIRALTY PRIMARY SCHOOL,https://admiraltypri.moe.edu.sg/,11   WOODLANDS CIRCLE,738907,63620598,na,63627512,na,ADMIRALTY_PS@MOE.EDU.SG,Admiralty Station,"TIBS 965, 964, 913",MR PEK WEE HAUR,MDM CHUA MUI LING,MDM NUR SABARIAH BTE MOHD IBRAHIM,,,,,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Admiralty Primary School, 11, Woodlands Circle, Woodlands, Northwest, 738907, Singapore",1.4429414,103.80034506744822
ADMIRALTY SECONDARY SCHOOL,http://www.admiraltysec.moe.edu.sg,31   WOODLANDS CRESCENT,737916,63651733,63654596,63652774,na,Admiralty_SS@moe.edu.sg,ADMIRALTY MRT,904,MR LAM YUI- P'NG,MR NG SONG LIM STEVEN,MR SHEIK ALAUDIN B MOHD ISMAIL,,,,,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Admiralty Secondary School, 31, Woodlands Crescent, Woodlands, Northwest, 737916, Singapore",1.4459118499999999,103.80290805413242
AHMAD IBRAHIM PRIMARY SCHOOL,http://www.ahmadibrahimpri.moe.edu.sg,10   YISHUN STREET 11,768643,67592906,na,67592927,na,aips@moe.edu.sg,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",MISS ONG LEE CHOO,MADAM SULASNI BINTE ABDUL RAHMAN,,,,,,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Ahmad Ibrahim Primary School, 10, Yishun Street 11, Yishun, Northwest, 768643, Singapore",1.4338487,103.83270977683569
AHMAD IBRAHIM SECONDARY SCHOOL,http://www.ahmadibrahimsec.moe.edu.sg,751  YISHUN AVENUE 7,768928,67585384,na,67557778,na,aiss@moe.edu.sg,"CANBERRA MRT, YISHUN MRT","117, 167, 169, 800, 811, 812, 883, 856, 858, 859, 965, 969, 980",MISS TAN KE XIN,MR YAO ZHIXUAN TERENCE,MISS LEA SHU HUI,,,,,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Yishun Avenue 7, Yishun, Northwest, 758932, Singapore",1.4357167,103.826998
AI TONG SCHOOL,http://www.aitong.moe.edu.sg,100  Bright Hill Drive,579646,64547672,na,64532726,na,AITONG_SCH@MOE.EDU.SG,Bishan MRT,"410, 162, 52",MDM GOH LING LING DIANE,"MDM NG BEE ENG, CINDY",MR YAK BENG WEI,,,,,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na,"Ai Tong School, 100, Bright Hill Drive, Bishan, Central, 579646, Singapore",1.3607125500000001,103.83301753795786
ALEXANDRA PRIMARY SCHOOL,http://alexandrapri.moe.edu.sg,2A   Prince Charles Crescent,159016,62485400,na,62485409,na,alexandra_ps@moe.edu.sg,Redhill Station  Tiong Bahru Station,"51, 122, 139, 186, 970.",MDM TEO CHING LING,MDM NORAINI BTE MANSOOR,,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Alexandra Primary School, 2A, Prince Charles Crescent, Bukit Merah, Central, 159016, Singapore",1.2912837000000001,103.82406594082047
ANCHOR GREEN PRIMARY SCHOOL,http://www.anchorgreenpri.moe.edu.sg,31   Anchorvale Drive,544969,68861356,na,63159825,na,anchorgreen_ps@moe.edu.sg,MRT : NE16-Sengkang LRT : SW7-TongKang,"Bus 372, 110, 50",MDM NORLIZA BTE A RAHIM,MDM VASUNDHARA  REDDY,MDM NEO LAY PIN,,,,,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Anchor Green Primary School, 31, Anchorvale Drive, Seng Kang, Northeast, 544969, Singapore",1.3903797999999998,103.8873537933713
ANDERSON PRIMARY SCHOOL,http://www.andersonpri.moe.edu.sg,19   ANG MO KIO AVE 9,569785,64560340,na,65522310,na,anderson_ps@moe.edu.sg,Yio Chu Kang MRT Station,"Ang Mo Kio Ave 9 - Bus 76, 265, 268",MDM DELIA HOO,"MDM NGOH YING LI, JANE",,,,,,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Ang Mo Kio Avenue 9, Ang Mo Kio, Central, 560622, Singapore",1.3827225,103.8393515
ANDERSON SECONDARY SCHOOL,http://www.andersonsec.moe.edu.sg,10   ANG MO KIO STREET 53,569206,64598303,na,64586104,na,anderson_ss@moe.edu.sg,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 548, 45, 50, 72",MDM THONG MAY TENG,MDM LOW CHIA YEE,MR JONAH LIM TUCK HWAY,,,,,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"Anderson Secondary School, 10, Ang Mo Kio Street 53, Ang Mo Kio, Central, 569206, Singapore",1.37541705,103.85172271977174
ANDERSON SERANGOON JUNIOR COLLEGE,www.asrjc.moe.edu.sg,4500 ANG MO KIO AVENUE 6,569843,64596822,na,64598734,na,asrjc@moe.edu.sg,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853, 860",MR MANOGARAN S/O SUPPIAH,MDM LOW BEE YEN,MR CHAN ZHENG MING,,,,,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,"Anderson Serangoon Junior College, 4500, Ang Mo Kio Avenue 6, Ang Mo Kio, Central, 569843, Singapore",1.3791514999999999,103.84579741148241
